table_id,image_file,class,order,alliance,association,releve_id,ref_code,map_reference,latitude,longitude,altitude_ft,altitude_m,aspect_deg,slope_deg,cover_pct,plot_area_m2,species,domin_value,presence_binary,raw_value,constancy_class,summary_value,total_species_reported,needs_review,note
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Antitrichia curtipendula,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Antitrichia curtipendula,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Antitrichia curtipendula,x,1,✗,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Antitrichia curtipendula,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Dicranum scoparium,.,0,.,III,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Dicranum scoparium,.,0,.,III,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Dicranum scoparium,2,1,2,III,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Dicranum scoparium,3,1,3,III,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Dicranum scoparium,x,1,✗,III,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Dicranum scoparium,x,1,✗,III,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Dicranum scoparium,.,0,.,III,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Glyphomitrium daviesii,.,0,.,III,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Glyphomitrium daviesii,.,0,.,III,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Glyphomitrium daviesii,.,0,.,III,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Glyphomitrium daviesii,2,1,2,III,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Glyphomitrium daviesii,.,0,.,III,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Glyphomitrium daviesii,x,1,✗,III,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Glyphomitrium daviesii,x,1,✗,III,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Grimmia trichophylla,2,1,2,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Grimmia trichophylla,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Grimmia trichophylla,1,1,1,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Grimmia trichophylla,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Grimmia trichophylla,x,1,✗,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Grimmia trichophylla,x,1,✗,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Grimmia trichophylla,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Hedwigia ciliata,6,1,6,V,5.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Hedwigia ciliata,5,1,5,V,5.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Hedwigia ciliata,6,1,6,V,5.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Hedwigia ciliata,4,1,4,V,5.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Hedwigia ciliata,x,1,✗,V,5.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Hedwigia ciliata,x,1,✗,V,5.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Hedwigia ciliata,x,1,✗,V,5.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Hypnum cupressiforme,2,1,2,V,2.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Hypnum cupressiforme,1,1,1,V,2.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Hypnum cupressiforme,2,1,2,V,2.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Hypnum cupressiforme,4,1,4,V,2.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Hypnum cupressiforme,x,1,✗,V,2.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Hypnum cupressiforme,x,1,✗,V,2.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Hypnum cupressiforme,x,1,✗,V,2.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Isothecium myosuroides,.,0,.,III,1.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Isothecium myosuroides,3,1,3,III,1.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Isothecium myosuroides,.,0,.,III,1.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Isothecium myosuroides,4,1,4,III,1.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Isothecium myosuroides,.,0,.,III,1.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Isothecium myosuroides,x,1,✗,III,1.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Isothecium myosuroides,x,1,✗,III,1.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Pterogonium gracile,3,1,3,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Pterogonium gracile,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Pterogonium gracile,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Pterogonium gracile,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Pterogonium gracile,x,1,✗,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Pterogonium gracile,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Pterogonium gracile,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Ptychomitrium polyphyllum,.,0,.,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Ptychomitrium polyphyllum,.,0,.,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Ptychomitrium polyphyllum,4,1,4,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Ptychomitrium polyphyllum,.,0,.,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Ptychomitrium polyphyllum,.,0,.,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Ptychomitrium polyphyllum,x,1,✗,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Ptychomitrium polyphyllum,x,1,✗,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Rhacomitrium fasciculare,1,1,1,V,4.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Rhacomitrium fasciculare,3,1,3,V,4.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Rhacomitrium fasciculare,3,1,3,V,4.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Rhacomitrium fasciculare,7,1,7,V,4.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Rhacomitrium fasciculare,x,1,✗,V,4.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Rhacomitrium fasciculare,x,1,✗,V,4.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Rhacomitrium fasciculare,x,1,✗,V,4.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,R. heterostichum,7,1,7,V,6.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,R. heterostichum,7,1,7,V,6.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,R. heterostichum,5,1,5,V,6.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,R. heterostichum,6,1,6,V,6.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,R. heterostichum,x,1,✗,V,6.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,R. heterostichum,x,1,✗,V,6.3,38,false,
